0:0:0:0:0:0:0:1 - - [27/Jan/2023:17:42:23 +0530] "GET /Project2/Bootstrap/js/popper.min.js.map HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:17:42:23 +0530] "GET /Project2/Bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:21:26:56 +0530] "GET /Project2/adminLogin.jsp HTTP/1.1" 200 2977
0:0:0:0:0:0:0:1 - - [27/Jan/2023:21:26:56 +0530] "GET /Project2/css/admin.css HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [27/Jan/2023:21:26:56 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:21:29:19 +0530] "GET /Project2/adminLogin.jsp HTTP/1.1" 200 3177
0:0:0:0:0:0:0:1 - - [27/Jan/2023:21:29:19 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:21:29:40 +0530] "GET /Project2/adminLogin.jsp HTTP/1.1" 200 3177
0:0:0:0:0:0:0:1 - - [27/Jan/2023:21:29:40 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:21:29:47 +0530] "GET /Project2/adminLogin.jsp HTTP/1.1" 200 3185
0:0:0:0:0:0:0:1 - - [27/Jan/2023:21:29:47 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:21:29:58 +0530] "GET /Project2/adminLogin.jsp HTTP/1.1" 200 3185
0:0:0:0:0:0:0:1 - - [27/Jan/2023:21:29:58 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:21:30:05 +0530] "GET /Project2/adminLogin.jsp HTTP/1.1" 200 3196
0:0:0:0:0:0:0:1 - - [27/Jan/2023:21:30:05 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:21:30:15 +0530] "GET /Project2/adminLogin.jsp HTTP/1.1" 200 3196
0:0:0:0:0:0:0:1 - - [27/Jan/2023:21:30:15 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:21:30:17 +0530] "GET /Project2/adminLogin.jsp HTTP/1.1" 200 3196
0:0:0:0:0:0:0:1 - - [27/Jan/2023:21:30:17 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:21:30:18 +0530] "GET /Project2/adminLogin.jsp HTTP/1.1" 200 3196
0:0:0:0:0:0:0:1 - - [27/Jan/2023:21:30:18 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:21:30:34 +0530] "GET /Project2/adminLogin.jsp HTTP/1.1" 200 3200
0:0:0:0:0:0:0:1 - - [27/Jan/2023:21:30:34 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:21:30:46 +0530] "GET /Project2/adminLogin.jsp HTTP/1.1" 200 3201
0:0:0:0:0:0:0:1 - - [27/Jan/2023:21:30:46 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:21:30:54 +0530] "GET /Project2/adminLogin.jsp HTTP/1.1" 200 3201
0:0:0:0:0:0:0:1 - - [27/Jan/2023:21:30:54 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:21:30:57 +0530] "GET /Project2/adminLogin.jsp HTTP/1.1" 200 3201
0:0:0:0:0:0:0:1 - - [27/Jan/2023:21:30:57 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:21:31:01 +0530] "GET /Project2/adminLogin.jsp HTTP/1.1" 200 3205
0:0:0:0:0:0:0:1 - - [27/Jan/2023:21:31:01 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:21:31:21 +0530] "GET /Project2/adminLogin.jsp HTTP/1.1" 200 3217
0:0:0:0:0:0:0:1 - - [27/Jan/2023:21:31:21 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:21:31:28 +0530] "GET /Project2/adminLogin.jsp HTTP/1.1" 200 3211
0:0:0:0:0:0:0:1 - - [27/Jan/2023:21:31:28 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
